Title,price1,price2,Code,Product_href
Lenovo ThinkPad X12 Detachable - 12.3" - Core i5 1130G7 - 8 Go RAM - 256 Go SSD - Français,"1 750,45 ? HT","2 100,54 ? TTC",20UW002EFR,https://www.inmac-wstore.com/lenovo-thinkpad-x12-detachable-12-3-core-i5-1130g7-8-go-ram-256-go-ssd-francais/p7266531.htm
Lenovo ThinkPad L13 Gen 2 - 13.3" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"891,88 ? HT","1 070,26 ? TTC",20VH004NFR,https://www.inmac-wstore.com/lenovo-thinkpad-l13-gen-2-13-3-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7266532.htm
Lenovo ThinkPad X13 Gen 2 - 13.3" - Core i5 1135G7 - Evo - 8 Go RAM - 512 Go SSD - Français,"1 349,86 ? HT","1 619,83 ? TTC",20WK00A8FR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-gen-2-13-3-core-i5-1135g7-evo-8-go-ram-512-go-ssd-francais/p7266534.htm
Lenovo ThinkPad X1 Carbon Gen 9 - 14" - Core i7 1165G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"2 140,73 ? HT","2 568,88 ? TTC",20XW009QFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-9-14-core-i7-1165g7-evo-16-go-ram-512-go-ssd-francais/p7266535.htm
Lenovo ThinkPad X13 Gen 1 - 13.3" - Ryzen 5 Pro 4650U - 8 Go RAM - 256 Go SSD - Français,"1 240,82 ? HT","1 488,98 ? TTC",20UF003HFR,https://www.inmac-wstore.com/lenovo-thinkpad-x13-gen-1-13-3-ryzen-5-pro-4650u-8-go-ram-256-go-ssd-francais/p7266529.htm
Lenovo ThinkPad X1 Carbon Gen 9 - 14" - Core i5 1145G7 - 8 Go RAM - 256 Go SSD - Français,"1 761,93 ? HT","2 114,32 ? TTC",20XX0027FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-9-14-core-i5-1145g7-8-go-ram-256-go-ssd-francais/p7265421.htm
Lenovo ThinkPad X1 Carbon Gen 9 - 14" - Core i5 1135G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"1 831,15 ? HT","2 197,38 ? TTC",20XW004YFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-9-14-core-i5-1135g7-evo-16-go-ram-512-go-ssd-francais/p7266487.htm
Lenovo ThinkPad X1 Carbon Gen 9 - 14" - Core i7 1165G7 - Evo - 16 Go RAM - 512 Go SSD - Français,"1 945,59 ? HT","2 334,71 ? TTC",20XW009PFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-carbon-gen-9-14-core-i7-1165g7-evo-16-go-ram-512-go-ssd-francais/p7265133.htm
Lenovo ThinkPad L14 Gen 2 - 14" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 029,61 ? HT","1 235,53 ? TTC",20X1006AFR,https://www.inmac-wstore.com/lenovo-thinkpad-l14-gen-2-14-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7265416.htm
Lenovo ThinkPad L14 Gen 2 - 14" - Core i5 1145G7 - 8 Go RAM - 256 Go SSD - Français,"1 201,78 ? HT","1 442,14 ? TTC",20X1006MFR,https://www.inmac-wstore.com/lenovo-thinkpad-l14-gen-2-14-core-i5-1145g7-8-go-ram-256-go-ssd-francais/p7265417.htm
Lenovo ThinkPad E15 Gen 3 - 15.6" - Ryzen 5 5500U - 8 Go RAM - 512 Go SSD - Français,"855,14 ? HT","1 026,17 ? TTC",20YG003SFR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-3-15-6-ryzen-5-5500u-8-go-ram-512-go-ssd-francais/p7265418.htm
Lenovo ThinkPad T14s Gen 1 - 14" - Ryzen 7 Pro 4750U - 16 Go RAM - 512 Go SSD - Français,"1 613,86 ? HT","1 936,63 ? TTC",20UH003CFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14s-gen-1-14-ryzen-7-pro-4750u-16-go-ram-512-go-ssd-francais/p7264804.htm
Lenovo ThinkPad T14s Gen 1 - 14" - Ryzen 5 Pro 4650U - 8 Go RAM - 256 Go SSD - Français,"1 337,36 ? HT","1 604,83 ? TTC",20UJ001PFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14s-gen-1-14-ryzen-5-pro-4650u-8-go-ram-256-go-ssd-francais/p7264805.htm
Lenovo ThinkPad T14 Gen 1 - 14" - Ryzen 5 Pro 4650U - 8 Go RAM - 512 Go SSD - Français,"1 360,19 ? HT","1 632,23 ? TTC",20UD004GFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14-gen-1-14-ryzen-5-pro-4650u-8-go-ram-512-go-ssd-francais/p7264806.htm
Lenovo ThinkPad X12 Detachable - 12.3" - Core i3 1110G4 - 8 Go RAM - 256 Go SSD - Français,"1 520,89 ? HT","1 825,07 ? TTC",20UW002CFR,https://www.inmac-wstore.com/lenovo-thinkpad-x12-detachable-12-3-core-i3-1110g4-8-go-ram-256-go-ssd-francais/p7266541.htm
Lenovo ThinkPad X1 Fold Gen 1 - 13.3" - Core i5 L16G7 - 8 Go RAM - 512 Go SSD - Français,"3 214,30 ? HT","3 857,16 ? TTC",20RL000VFR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-fold-gen-1-13-3-core-i5-l16g7-8-go-ram-512-go-ssd-francais/p7266542.htm
Lenovo ThinkPad L13 Gen 2 - 13.3" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 006,66 ? HT","1 207,99 ? TTC",20VH004PFR,https://www.inmac-wstore.com/lenovo-thinkpad-l13-gen-2-13-3-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7266543.htm
