Title,price,rating,image_url,Product_href
Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Lig...,"??60,990",4.5,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/computer/x/3/y/na-thin-and-light-laptop-lenovo-original-imagf2sxsm9phf4z.jpeg?q=70,/lenovo-ideapad-slim-5-ryzen-7-octa-core-4700u-8-gb-512-gb-ssd-windows-10-home-14are05-thin-light-laptop/p/itm74bdb1c4b2516?pid=COMFXVAS6FYXYMHW&lid=LSTCOMFXVAS6FYXYMHWII0UO7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMFXVAS6FYXYMHW.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
lenovo Yoga 7 Core i7 11th Gen Intel EVO - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop,"??97,988",4.8,https://rukminim1.flixcart.com/image/312/312/kkimfm80/computer/q/g/o/na-2-in-1-laptop-lenovo-original-imafzua4zhhpyyz8.jpeg?q=70,/lenovo-yoga-7-core-i7-11th-gen-intel-evo-16-gb-512-gb-ssd-windows-10-home-14itl5-2-1-laptop/p/itm707ded706da81?pid=COMFXV7SFNVVRZEF&lid=LSTCOMFXV7SFNVVRZEFVYKSLS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=CLP_Filters&fm=organic&iid=en_3TJ%2FPAm6%2FzT%2BgEdCt%2BK7snBdqEwAs4pzUA%2F7md6dy61N63B5%2FFGXZUAh9w5YWSgifVinkV4oj8w94cQ5vlcM5g%3D%3D&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,"??39,990",4.6,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itm6098abbf35cd9?pid=COMG4WZ7Q2YFJGQ6&lid=LSTCOMG4WZ7Q2YFJGQ6DDUOXH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG4WZ7Q2YFJGQ6.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 3 15ITL6 Th...,"??57,990",4.4,https://rukminim1.flixcart.com/image/312/312/kpft18w0/computer/r/9/k/na-thin-and-light-laptop-lenovo-original-imag3zd4czyzjyed.jpeg?q=70,/lenovo-ideapad-slim-3i-2021-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-3-15itl6-thin-light-laptop/p/itmca15396cae957?pid=COMG3HHRB9XAAGZ7&lid=LSTCOMG3HHRB9XAAGZ7OJO6M0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG3HHRB9XAAGZ7.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,"??39,990",4.2,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itmb244d9bfb76d4?pid=COMG4WZ7UPV659QV&lid=LSTCOMG4WZ7UPV659QVYZAEMY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG4WZ7UPV659QV.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"??73,990",4.3,https://rukminim1.flixcart.com/image/312/312/kngd0nk0/computer/k/q/5/na-laptop-lenovo-original-imag24kvhrgqvjut.jpeg?q=70,/lenovo-thinkpad-e15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-laptop/p/itm0b7cc6a320930?pid=COMGF42G9RJGJYJH&lid=LSTCOMGF42G9RJGJYJHMIEW2B&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=CLP_Filters&fm=organic&iid=en_3TJ%2FPAm6%2FzT%2BgEdCt%2BK7snBdqEwAs4pzUA%2F7md6dy63%2FCY4hIQ2PAPfGoBYfZijszRuaUOq4YQZSCk%2FHWCRNGg%3D%3D&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) E14 Lapto...,"??53,990",4.3,https://rukminim1.flixcart.com/image/312/312/knqd3m80/computer/b/n/w/thinkpad-e14-laptop-lenovo-original-imag2chrjgzzggrv.jpeg?q=70,/lenovo-thinkpad-e14-gen2-ryzen-5-hexa-core-4650u-5th-gen-8-gb-256-gb-ssd-windows-10-home-laptop/p/itma57c02bad3347?pid=COMG28FUNHEKGFYT&lid=LSTCOMG28FUNHEKGFYTFU52TM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG28FUNHEKGFYT.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,"??56,690",,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/6/4/l/na-thin-and-light-laptop-lenovo-original-imag56ugbsgxbff5.jpeg?q=70,/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-15itl6-thin-light-laptop/p/itm4b58ecc1a12b1?pid=COMG4WZ7URTVTSDR&lid=LSTCOMG4WZ7URTVTSDREFEZ2C&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG4WZ7URTVTSDR.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,"??59,990",4.5,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70,/lenovo-ideapad-gaming-ryzen-5-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-15-arh-05-laptop/p/itmd00081bb4ee24?pid=COMG3TZGXDZZADQA&lid=LSTCOMG3TZGXDZZADQAT3GCMZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMG3TZGXDZZADQA.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
Lenovo IdeaPad Flex 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Laptop,"??83,990",4.3,https://rukminim1.flixcart.com/image/312/312/kll7bm80/computer/k/5/x/na-thin-and-light-laptop-lenovo-original-imagyz3cykx2awtc.jpeg?q=70,/lenovo-ideapad-flex-5-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-14itl05-2-1-laptop/p/itm157c361059cab?pid=COMGYZQTXJYDQYRH&lid=LSTCOMGYZQTXJYDQYRHK2P3KT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=CLP_Filters&fm=organic&iid=0789c419-c3ee-4ff6-8b09-96cd4f8cbe70.COMGYZQTXJYDQYRH.SEARCH&ppt=None&ppn=None&ssid=req0wjke9s0000001628536890010
