Title,Price excl. btw,price incl. btw,Code,product_href
Lenovo X13 G2 T I5-1135G7 16GB/256GB 13.3 W10P Laptops,"1.272,-
       ","1.539,12",20WK00ABMB,https://www.centralpoint.be/nl/laptops/lenovo/x13-g2-t-i5-1135g7-16gb-256gb-13-3-w10p-art-20wk00abmb-num-12235468/
"Lenovo Legion 5 Pro Laptop - Zwart,Grijs","1.277,-
       ","1.545,17",82JQ007MMB,https://www.centralpoint.be/nl/laptops/lenovo/lenovo-legion-5-pro-16ach6h-r7-5800h-16i-art-82jq007mmb-num-12226604/
Lenovo ThinkPad T14 Laptop - Zwart,"1.285,-
       ","1.554,85",20W0009GMB,https://www.centralpoint.be/nl/laptops/lenovo/t14-g2-t-i5-1145g7-8gb-256gb-14-w10p-art-20w0009gmb-num-12235447/
Lenovo ThinkPad X13 Yoga i5 8GB RAM 256GB SSD Laptop - Zwart,"1.301,-
       ","1.574,21",20SX001FMB,https://www.centralpoint.be/nl/laptops/lenovo/thinkpad-x13-yoga-i5-8gb-ram-256gb-ssd-art-20sx001fmb-num-11212738/
Lenovo TP T14 5_PRO_5850U 16BG 512 Laptops,"1.301,-
       ","1.574,21",20XK002SMB,https://www.centralpoint.be/nl/laptops/lenovo/t14-amd-g2-5850u-16gb-512gb-14-w10p-art-20xk002smb-num-12235463/
Lenovo X395 AMD Ryzen 7 Pro 16GB RAM 512GB SSD Laptop - Zwart,"1.319,-
       ","1.595,99",20NL000HMB,https://www.centralpoint.be/nl/laptops/lenovo/x395-amd-ryzen-7-pro-16gb-ram-512gb-ssd-art-20nl000hmb-num-10606932/
Lenovo ThinkPad T14 Laptop - Zwart,"1.326,-
       ","1.604,46",20S0004BMB,https://www.centralpoint.be/nl/laptops/lenovo/t14-art-20s0004bmb-num-11477846/
Lenovo ThinkPad T14 Laptop - Zwart,"1.326,-
       ","1.604,46",20S0004BGE,https://www.centralpoint.be/nl/laptops/lenovo/notebook-tp-t14-g1-i7-16g-10p-art-20s0004bge-num-11987508/
Lenovo Legion5 15.6" 15ARH05H R7 4800H 16GB 1TB RTX 2060 Laptops,"1.327,-
       ","1.605,67",82B10024MB,https://www.centralpoint.be/nl/laptops/lenovo/legion5-15arh05h-4800h-16g-plus-1tb-15-6-w10h-art-82b10024mb-num-11477434/
Lenovo ThinkPad T14s Laptop - Zwart,"1.359,-
       ","1.644,39",20UJ0015MB,https://www.centralpoint.be/nl/laptops/lenovo/t14s-art-20uj0015mb-num-11212754/
Lenovo T14s G2 T I5-1135G7 16GB/512GB 14 W10P Laptops,"1.371,-
       ","1.658,91",20WM00A4MB,https://www.centralpoint.be/nl/laptops/lenovo/t14s-g2-t-i5-1135g7-16gb-512gb-14-w10p-art-20wm00a4mb-num-12235469/
Lenovo TP T15 G2/15.6/I7-1165G7/16GB/512GB/W10P Laptops,"1.389,-
       ","1.680,69",20W4008DMB,https://www.centralpoint.be/nl/laptops/lenovo/t15-g2-t-i7-1165g7-16gb-512gb-15-6-w10p-art-20w4008dmb-num-12235465/
Lenovo ThinkPad X1 Carbon Laptop - Zwart,"1.392,-
       ","1.684,32",20U90047FR,https://www.centralpoint.be/nl/laptops/lenovo/notebook-tp-x1-carbon-g8-i5-8g-10p-art-20u90047fr-num-12135642/
"Lenovo Legion 5 Pro Laptop - Zwart,Grijs","1.396,-
       ","1.689,16",82JQ007NMB,https://www.centralpoint.be/nl/laptops/lenovo/lenovo-legion-5-pro-16ach6h-r7-5800h-16i-art-82jq007nmb-num-12220917/
Lenovo ThinkPad T14 Laptop - Zwart,"1.403,-
       ","1.697,63",20W000AMMB,https://www.centralpoint.be/nl/laptops/lenovo/t14-g2-t-i7-1165g7-16gb-512gb-14-w10p-art-20w000ammb-num-12235464/
Lenovo ThinkPad T14s - AZERTY Laptop - Zwart,"1.404,-
       ","1.698,84",20T0001PMB,https://www.centralpoint.be/nl/laptops/lenovo/t14s-art-20t0001pmb-num-11212752/
Lenovo NB TP T14 G1 I7 16G 256G 10P Laptops,"1.429,-
       ","1.729,09",20S0S2WE00,https://www.centralpoint.be/nl/laptops/lenovo/nb-tp-t14-g1-i7-16g-256g-10p-art-20s0s2we00-num-12212543/
Lenovo NB TP X13 G2 I7 16GB/512GB W10P Laptops,"1.433,-
       ","1.733,93",20WK00AGMB,https://www.centralpoint.be/nl/laptops/lenovo/nb-tp-x13-g2-i7-16gb-512gb-w10p-art-20wk00agmb-num-12235450/
Lenovo ThinkPad X12 Laptop - Zwart,"1.433,-
       ","1.733,93",20UW000GMB,https://www.centralpoint.be/nl/laptops/lenovo/x12-art-20uw000gmb-num-12203899/
"Lenovo Legion 5 Pro Laptop - Zwart,Grijs","1.436,-
       ","1.737,56",82JQ007PMB,https://www.centralpoint.be/nl/laptops/lenovo/lenovo-legion-5-pro-16ach6h-r7-5800h-16i-art-82jq007pmb-num-12226602/
Lenovo ThinkPad X13 Yoga Laptop - Zwart,"1.446,-
       ","1.749,66",20W80017MB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x-x13-yoga-g2-t-13-3-i5-1135g7-w10p-art-20w80017mb-num-12224742/
Lenovo NB TP T14 G1 I7 16G 256G 10P Laptops,"1.451,-
       ","1.755,71",20S0S30C00,https://www.centralpoint.be/nl/laptops/lenovo/nb-tp-t14-g1-i7-16g-256g-10p-art-20s0s30c00-num-12212542/
"Lenovo Legion 5 Pro Laptop - Zwart,Grijs","1.476,-
       ","1.785,96",82JQ007QMB,https://www.centralpoint.be/nl/laptops/lenovo/lenovo-legion-5-pro-16ach6h-r7-5800h-16i-art-82jq007qmb-num-12227872/
Lenovo T14s G2 T I7-1165G7 16GB/512GB 14 W10P Laptops,"1.494,-
       ","1.807,74",20WM009YMB,https://www.centralpoint.be/nl/laptops/lenovo/t14s-g2-t-i7-1165g7-16gb-512gb-14-w10p-art-20wm009ymb-num-12235455/
Lenovo ThinkPad X1 Carbon Laptop - Zwart,"1.516,-
       ","1.834,36",20U9004SMB,https://www.centralpoint.be/nl/laptops/lenovo/x1-carbon-g8-t-ci5-14in-16-512gb-w10p-art-20u9004smb-num-11735199/
Lenovo ThinkPad P15s Laptop - Zwart,"1.518,-
       ","1.836,78",20T40008MB,https://www.centralpoint.be/nl/laptops/lenovo/p15s-art-20t40008mb-num-11735177/
Lenovo ThinkPad P15s G2 i7-1165G7 16GB Laptops,"1.523,-
       ","1.842,83",20W6000GMB,https://www.centralpoint.be/nl/laptops/lenovo/thinkpad-p15s-g2-i7-1165g7-16gb-art-20w6000gmb-num-12264002/
Lenovo TP X1 X1 Carbon G9 T 14 I5-1135G7 W10P Laptops,"1.540,-
       ","1.863,40",20XW0029MB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x1-x1-carbon-g9-t-14-i5-1135g7-w10p-art-20xw0029mb-num-12224755/
Lenovo ThinkPad X1 Nano Laptop - Zwart,"1.569,-
       ","1.898,49",20UN0029MB,https://www.centralpoint.be/nl/laptops/lenovo/x1-nano-gen1-i5-1130g7-16g-256gb-13-w10p-art-20un0029mb-num-12139620/
Lenovo ThinkPad P15s Laptop - Zwart,"1.572,-
       ","1.902,12",20W60051MB,https://www.centralpoint.be/nl/laptops/lenovo/p15s-g2-t-i7-1165g7-16gb-512gb-15-6-w10p-art-20w60051mb-num-12235459/
Lenovo ThinkPad X13 Yoga Laptop - Zwart,"1.575,-
       ","1.905,75",20W80018MB,https://www.centralpoint.be/nl/laptops/lenovo/tp-x-x13-yoga-g2-t-13-3-i7-1165g7-w10p-art-20w80018mb-num-12224744/
Lenovo P14s G2 T I7-1165G7 16GB/512GB 14 W10P Laptops,"1.599,-
       ","1.934,79",20VX005LMB,https://www.centralpoint.be/nl/laptops/lenovo/p14s-g2-t-i7-1165g7-16gb-512gb-14-w10p-art-20vx005lmb-num-12235460/
Lenovo ThinkPad P14s Laptop - Zwart,"1.612,-
       ","1.950,52",20S4000KMB,https://www.centralpoint.be/nl/laptops/lenovo/p14s-art-20s4000kmb-num-11735165/
Lenovo ThinkPad X1 Carbon i5 16GB RAM 512GB SSD - AZERTY Laptop - Zwart,"1.641,-
       ","1.985,61",20U90042MB,https://www.centralpoint.be/nl/laptops/lenovo/thinkpad-x1-carbon-i5-16gb-ram-512gb-ssd-art-20u90042mb-num-11212708/
