Title,Online_price,MRP_price,image_url,Product_href
"(Renewed) Lenovo Intel 2nd Gen Core i5 14.1-Inch (35.81 cms) 1366x768 Laptop (4 GB/320 GB/Windows 7 Professional/Intel HD Graphics 3000/Black/1.50 Kg), L420","27,979","₹2,50,000₹2,50,000",https://m.media-amazon.com/images/I/51DrKXwtxKL._AC_UL320_.jpg,/Certified-REFURBISHED-Lenovo-L420-Integrated/dp/B07D3DWKTB/ref=sr_1_122?dchild=1&qid=1628622558&s=computers&sr=1-122
"(Renewed) Lenovo Thinkpad Hybrid Laptop X230 Intel Core i5 - 3320m Processor, 4 GB Ram & 256 GB SSD & 1TB HDD, Win10, 12.5 Inches 1.34 KG Ultralight Computer",,,https://m.media-amazon.com/images/I/61R6kEAt-9S._AC_UL320_.jpg,
"(Renewed) Lenovo Intel 4th Gen Core i5 4200M 14-Inch (35.56 cms) HD (1366 X 768) Laptop (8 GB/500 GB/Windows 10 Pro/Intel HD Graphics 4600/Black/1.80 kg), Thinkpad L440","32,989",,https://m.media-amazon.com/images/I/21d7Vx1-2VL._AC_UL320_.jpg,/Renewed-Lenovo-ThinkPad-L440-I5-8GB-500-Graphics/dp/B07V5CS3LX/ref=sr_1_124?dchild=1&qid=1628622558&s=computers&sr=1-124
"(Renewed) Lenovo T430 14-inch Laptop (Core i7/ 16GB RAM/512GB SSD/Windows 10 Pro/MS Office 2019, Intel Integrated Graphics, PAN INDIA WARRANTY) Black","55,999","₹80,000₹80,000",https://m.media-amazon.com/images/I/61lDNohfRnL._AC_UL320_.jpg,/Renewed-Lenovo-Integrated-Graphics-WARRANTY/dp/B092Z9VHVM/ref=sr_1_125?dchild=1&qid=1628622558&s=computers&sr=1-125
"(Renewed) Lenovo Thinkpad L450 14 inch Laptop (Core I5 5th Gen/8GB/500 GB/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black","32,499","₹94,900₹94,900",https://m.media-amazon.com/images/I/51VEObNzzCL._AC_UL320_.jpg,
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (8GB/1TB+256GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG010BIN","62,088","₹85,290₹85,290",https://m.media-amazon.com/images/I/61WNxdAeAoL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers_sr_pg5_1?ie=UTF8&adId=A05457562ZS17ZQ6FAQ89&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82FG010BIN%2Fdp%2FB096SHMYJJ%2Fref%3Dsr_1_127_sspa%3Fdchild%3D1%26qid%3D1628622558%26s%3Dcomputers%26sr%3D1-127-spons%26psc%3D1&qualifier=1628622558&id=4962781855242050&widgetName=sp_btf_browse
"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i5 15.6 FHD Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/2 Year Warranty/Arctic Grey/1.65Kg), 82H801CWIN","57,990","₹81,090₹81,090",https://m.media-amazon.com/images/I/61q6x-ll5FL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers_sr_pg5_1?ie=UTF8&adId=A04719619YNZAU79UH9I&url=%2FLenovo-IdeaPad-Keyboard-Warranty-82H801CWIN%2Fdp%2FB09999TTV3%2Fref%3Dsr_1_128_sspa%3Fdchild%3D1%26qid%3D1628622558%26s%3Dcomputers%26sr%3D1-128-spons%26psc%3D1&qualifier=1628622558&id=4962781855242050&widgetName=sp_btf_browse
"Lenovo IdeaPad Slim 3 2021 Intel Core i5 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41kg), 82H700KTIN","58,990","₹74,390₹74,390",https://m.media-amazon.com/images/I/61XJ6xrICAL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers_sr_pg5_1?ie=UTF8&adId=A05453562B6S92V327RWJ&url=%2FLenovo-IdeaPad-Fingerprint-Warranty-82H700KTIN%2Fdp%2FB096SKD3V7%2Fref%3Dsr_1_129_sspa%3Fdchild%3D1%26qid%3D1628622558%26s%3Dcomputers%26sr%3D1-129-spons%26psc%3D1&qualifier=1628622558&id=4962781855242050&widgetName=sp_btf_browse
,,,,
,,,,
,,,,
,,,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/120Hz Refresh Display/Onyx Black/2.2Kg), 82EY00UAIN","60,993","₹64,330₹64,330",https://m.media-amazon.com/images/I/61TlKHyOHLL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg6_1?ie=UTF8&adId=A07595662RED1O4H9VU2&url=%2FLenovo-IdeaPad-39-63cm-Windows-82EY00UAIN%2Fdp%2FB095KQ1G3X%2Fref%3Dsr_1_121_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-121-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_atf_browse
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/120Hz Refresh Display/Onyx Black/2.2Kg), 82EY00UAIN","60,993","₹64,330₹64,330",https://m.media-amazon.com/images/I/61TlKHyOHLL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg6_1?ie=UTF8&adId=A07595662RED1O4H9VU2&url=%2FLenovo-IdeaPad-39-63cm-Windows-82EY00UAIN%2Fdp%2FB095KQ1G3X%2Fref%3Dsr_1_121_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-121-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_atf_browse
"Lenovo Yoga 6 AMD Ryzen 7 4700U 13.3"" (33.78 cms) Full HD IPS 2-in-1 Touchscreen Laptop (16GB/512GB SSD/Windows 10/MS Office 2019/Fingerprint Reader/Abyss Blue/Fabric Surface/1.32Kg), 82FN004QIN","89,900","₹99,990₹99,990",https://m.media-amazon.com/images/I/61jBhFd7JoL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg6_1?ie=UTF8&adId=A0506843Y547R0PRW0YN&url=%2FLenovo-Touchscreen-Windows-Fingerprint-82FN004QIN%2Fdp%2FB08Y96J1ZJ%2Fref%3Dsr_1_122_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-122-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_atf_browse
"Lenovo Legion 5 10th Gen Intel Core i5-10300H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/120Hz Refresh Display/Phantom Black/2.3Kg), 82AU00PMIN","68,490","₹93,690₹93,690",https://m.media-amazon.com/images/I/61p3lA4N3uL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg6_1?ie=UTF8&adId=A02815761NWVQB0HCW4YJ&url=%2FLenovo-i5-10300H-39-63cm-Windows-82AU00PMIN%2Fdp%2FB097TYRFJJ%2Fref%3Dsr_1_123_sspa%3Fdchild%3D1%26qid%3D1628622560%26s%3Dcomputers%26sr%3D1-123-spons%26psc%3D1&qualifier=1628622560&id=3470364532863950&widgetName=sp_atf_browse
(Renewed) Lenovo ThinkPad X260 High Performance 12.5 inch IPS Panel 1.5kg Laptop (Core i5 6300U/8 GB DDR4 RAM/500 GB/Windows 10 Pro/Office 2019/Webcam/USB 3.0/SIM/BT/Integrated Graphics),"35,998","₹1,29,000₹1,29,000",https://m.media-amazon.com/images/I/519zEGbMFLL._AC_UL320_.jpg,/Lenovo-ThinkPad-Performance-Integrated-Graphics/dp/B08X2PCS8V/ref=sr_1_124?dchild=1&qid=1628622560&s=computers&sr=1-124
"(Renewed) Lenovo Thinkpad X230 12.5-inch Laptop (Core i5 3rd Gen/8GB/128GB SSD/Windows 10/MS Office Pro 2019/Integrated Graphics/IPS display), Black","33,999","₹89,999₹89,999",https://m.media-amazon.com/images/I/41H-YztRRKL._AC_UL320_.jpg,/Lenovo-Thinkpad-12-5-inch-Integrated-Graphics/dp/B08SMMP731/ref=sr_1_125?dchild=1&qid=1628622560&s=computers&sr=1-125
"(Renewed) Lenovo Thinkpad Intel 5th Gen Core i5 5300U 14-Inch (35.56 cms) 1600 x 900 (HD+) Laptop (8 GB/512 GB SSD/Windows 10/Intel HD Graphics 5500/Black/1.90 Kg), T450","41,499","₹89,999₹89,999",https://m.media-amazon.com/images/I/616Wfk6L9VL._AC_UL320_.jpg,/Certified-REFURBISHED-Lenovo-T450-Integrated/dp/B07HPV69ZQ/ref=sr_1_126?dchild=1&qid=1628622560&s=computers&sr=1-126
"(Renewed) Lenovo T430 14-inch Laptop (Core i7/ 16GB RAM/500GB HDD/Windows 10 Pro/MS Office 2019, Intel Integrated Graphics, PAN INDIA WARRANTY) Black","46,999","₹80,000₹80,000",https://m.media-amazon.com/images/I/61lDNohfRnL._AC_UL320_.jpg,/Renewed-Lenovo-Integrated-Graphics-WARRANTY/dp/B092Z9RC4Z/ref=sr_1_127?dchild=1&qid=1628622560&s=computers&sr=1-127
"Lenovo IdeaPad Flex 5 11th Gen Intel Core i3 14-inch FHD IPS 2-in-1 Touchscreen Laptop (8GB/256GB SSD/Win 10/Office 2019/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS009FIN","69,990","₹71,290₹71,290",https://m.media-amazon.com/images/I/61ta6vDkCRL._AC_UL320_.jpg,/Lenovo-Touchscreen-Fingerprint-Graphite-82HS009FIN/dp/B092MSQ87Z/ref=sr_1_128?dchild=1&qid=1628622560&s=computers&sr=1-128
"(Renewed) Lenovo IdeaPad B40-70 14-inch Laptop (Core i3/16GB RAM/512GB SSD/Windows 10 Pro/MS Office 2019/More than 4 GB Intel Integrated Graphics, Fingerprint Scanner), Black","39,999","₹60,000₹60,000",https://m.media-amazon.com/images/I/51MVKMAJZzS._AC_UL320_.jpg,/Renewed-Lenovo-Integrated-Graphics-Fingerprint/dp/B091N5G6W9/ref=sr_1_129?dchild=1&qid=1628622560&s=computers&sr=1-129
"Lenovo Ideapad S540 Intel Core i7 10th Gen 15.6 inch FHD Thin and Light Laptop (8GB/1TB+256GB SSD/Windows 10/Office/NVIDIA MX250 2GB Graphics/Mineral Grey/1.8KG), 81NG00BWIN","89,990","₹1,11,890₹1,11,890",https://m.media-amazon.com/images/I/911dhIY2SCL._AC_UL320_.jpg,
